itemId,itemName,itemKind,itemTypeKey,itemType,craftType,craftLevel,equipLevel,recipeBook,slot,slotGridType,slotGridCols,groupKind,groupId,groupName,itemsCount,crystalByAlchemy,materialsJson,slotGridJson,jobsJson,equipableType
武器鍛冶_はしゃのオノ,はしゃのオノ,武器,,オノ,武器鍛冶,33.0,60.0,はしゃのオノの書,オノ,3x2,2.0,weapon_single,武器鍛冶_はしゃのオノ,はしゃのオノ,1,,"[{""name"": ""げんませき"", ""qty"": 1}, {""name"": ""大きなホネ"", ""qty"": 5}, {""name"": ""パープルオーブ"", ""qty"": 1}, {""name"": ""ようせいのひだね"", ""qty"": 12}]","[[""88-100"",""88-100""],[""100-105"",""130-136""],[""150-160"",""""],[""74-87"",""""]]","[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
武器鍛冶_グレトアックス,グレートアックス,武器,,オノ,武器鍛冶,34.0,60.0,グレートアックスの本,オノ,3x2,2.0,weapon_single,武器鍛冶_グレトアックス,グレートアックス,1,,"[{""name"": ""ほしのカケラ"", ""qty"": 15}, {""name"": ""小さなうろこ"", ""qty"": 30}, {""name"": ""ブルーオーブ"", ""qty"": 1}, {""name"": ""ようせいのひだね"", ""qty"": 12}]","[[""80-89"",""170-180""],[""130-138"",""102-112""],[""100-106"",""""],[""90-100"",""""]]","[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
武器鍛冶_ふんさいのおおなた,ふんさいのおおなた,武器,,オノ,武器鍛冶,35.0,65.0,ふんさいのおおなたの書,オノ,3x2,2.0,weapon_single,武器鍛冶_ふんさいのおおなた,ふんさいのおおなた,1,,"[{""name"": ""ぶどうエキス"", ""qty"": 4}, {""name"": ""大きなこうら"", ""qty"": 10}, {""name"": ""大きな化石"", ""qty"": 10}, {""name"": ""グリーンオーブ"", ""qty"": 1}, {""name"": ""ようせいのひだね"", ""qty"": 10}]","[[""90-96"",""90-100""],[""150-156"",""120-128""],[""218-232"",""""],[""80-89"",""""]]","[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
武器鍛冶_聖王のオノ,聖王のオノ,武器,,オノ,武器鍛冶,36.0,70.0,聖王のオノの壁画,オノ,1x1,2.0,weapon_single,武器鍛冶_聖王のオノ,聖王のオノ,1,,"[{""name"": ""マデュライト"", ""qty"": 5}, {""name"": ""黄金の飾りオノ"", ""qty"": 1}, {""name"": ""大きな化石"", ""qty"": 5}, {""name"": ""虹色のオーブ"", ""qty"": 1}, {""name"": ""ようせいのひだね"", ""qty"": 5}]","[[""100-110"",""120-126""],[""120-126"",""100-110""],[""100-110"",""""],[""160-171"",""""]]","[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
武器鍛冶_アポロンのオノ,アポロンのオノ,武器,,オノ,武器鍛冶,37.0,75.0,太陽の斧を求めて,オノ,1x1,2.0,weapon_single,武器鍛冶_アポロンのオノ,アポロンのオノ,1,,"[{""name"": ""マデュライト"", ""qty"": 10}, {""name"": ""ようがんのカケラ"", ""qty"": 20}, {""name"": ""ひかりの石"", ""qty"": 20}, {""name"": ""虹色のオーブ"", ""qty"": 1}, {""name"": ""ようせいのひだね"", ""qty"": 10}]","[[""130-142"",""130-142""],[""110-116"",""110-116""],[""105-114"",""""],[""150-158"",""""]]","[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
武器鍛冶_デュクアックス,デュークアックス,武器,,オノ,武器鍛冶,38.0,80.0,デュークアックス戦記,オノ,1d,2.0,weapon_single,武器鍛冶_デュクアックス,デュークアックス,1,,"[{""name"": ""マデュライト"", ""qty"": 15}, {""name"": ""ヘビーメタル"", ""qty"": 5}, {""name"": ""大きな化石"", ""qty"": 20}, {""name"": ""虹色のオーブ"", ""qty"": 1}, {""name"": ""ようせいのひだね"", ""qty"": 10}]","[[""120-130"",""120-130""],[""120-130"",""120-130""],[""90-96"",""""],[""150-156"",""""]]","[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
武器鍛冶_ヴァランガアックス,ヴァランガアックス,武器,,オノ,武器鍛冶,39.0,80.0,峡谷のヴァランガ,オノ,1d,2.0,weapon_single,武器鍛冶_ヴァランガアックス,ヴァランガアックス,1,,"[{""name"": ""マデュライト"", ""qty"": 15}, {""name"": ""サバンナの水"", ""qty"": 30}, {""name"": ""氷のけっしょう"", ""qty"": 30}, {""name"": ""虹色のオーブ"", ""qty"": 1}, {""name"": ""ようせいのひだね"", ""qty"": 10}]","[[""100-110"",""120-126""],[""120-126"",""177-187""],[""160-171"",""""],[""100-110"",""""]]","[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
武器鍛冶_グロリアックス,グローリーアックス,武器,,オノ,武器鍛冶,40.0,85.0,栄光の王斧の本,オノ,3x2,2.0,weapon_single,武器鍛冶_グロリアックス,グローリーアックス,1,,"[{""name"": ""ナドラダイト鉱石"", ""qty"": 3}, {""name"": ""ひかりの石"", ""qty"": 10}, {""name"": ""黄金の飾りオノ"", ""qty"": 1}, {""name"": ""虹色のオーブ"", ""qty"": 1}, {""name"": ""ようせいのひだね"", ""qty"": 5}]","[[""130-136"", ""160-171""], [""130-136"", ""200-210""], [""108-118"", """"], [""108-118"", """"]]","[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
武器鍛冶_イビルアックス,イビルアックス,武器,,オノ,武器鍛冶,41.0,90.0,イビルアックスミックス,オノ,3x2,2.0,weapon_single,武器鍛冶_イビルアックス,イビルアックス,1,,"[{""name"": ""ナドラダイト鉱石"", ""qty"": 5}, {""name"": ""どくどくヘドロ"", ""qty"": 30}, {""name"": ""暗黒の樹木"", ""qty"": 30}, {""name"": ""レッドアイ"", ""qty"": 10}, {""name"": ""ようせいのひだね"", ""qty"": 5}]","[[""125-131"", ""188-198""], [""125-131"", ""188-198""], [""155-165"", """"], [""99-110"", """"]]","[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
武器鍛冶_ヘカトンケイル,ヘカトンケイル,武器,,オノ,武器鍛冶,42.0,93.0,百手巨人の手も借りたい,オノ,3x2,2.0,weapon_single,武器鍛冶_ヘカトンケイル,ヘカトンケイル,1,,"[{""name"": ""ナドラダイト鉱石"", ""qty"": 5}, {""name"": ""幻獣のホネ"", ""qty"": 1}, {""name"": ""青い宝石"", ""qty"": 10}, {""name"": ""ゴールドストーン"", ""qty"": 5}, {""name"": ""ようせいのひだね"", ""qty"": 5}]","[[""105-115"", ""135-141""], [""135-141"", ""222-232""], [""180-191"", """"], [""105-115"", """"]]","[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
武器鍛冶_ガイアのオノ,ガイアのオノ,武器,,オノ,武器鍛冶,43.0,96.0,ガイアファンタジア,オノ,3x2,2.0,weapon_single,武器鍛冶_ガイアのオノ,ガイアのオノ,1,,"[{""name"": ""アステライト鉱石"", ""qty"": 5}, {""name"": ""大地の羽毛"", ""qty"": 1}, {""name"": ""ヘビーメタル"", ""qty"": 10}, {""name"": ""まりょくの土"", ""qty"": 30}, {""name"": ""ようせいのひだね"", ""qty"": 5}]","[[""140-146"", ""170-181""], [""140-146"", ""214-224""], [""108-118"", """"], [""108-118"", """"]]","[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
武器鍛冶_神域のオノ,神域のオノ,武器,,オノ,武器鍛冶,44.0,99.0,ゴッドライクなオノ作成,オノ,3x2,2.0,weapon_single,武器鍛冶_神域のオノ,神域のオノ,1,,"[{""name"": ""アステライト鉱石"", ""qty"": 5}, {""name"": ""ひかりの石"", ""qty"": 30}, {""name"": ""ゴールドストーン"", ""qty"": 10}, {""name"": ""ブルーアイ"", ""qty"": 20}, {""name"": ""ようせいのひだね"", ""qty"": 5}]","[[""190-201"", ""182-192""], [""150-160"", ""212-218""], [""158-164"", """"], [""120-130"", """"]]","[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
武器鍛冶_ボルテジアックス,ボルテージアックス,武器,,オノ,武器鍛冶,45.0,100.0,赤裸々ボルテージ日誌,オノ,3x2,2.0,weapon_single,武器鍛冶_ボルテジアックス,ボルテージアックス,1,,"[{""name"": ""アステライト鉱石"", ""qty"": 10}, {""name"": ""炎魔の焼け石"", ""qty"": 1}, {""name"": ""幻獣のホネ"", ""qty"": 5}, {""name"": ""ぎんのこうせき"", ""qty"": 10}, {""name"": ""ようせいのひだね"", ""qty"": 5}]","[[""150-160"", ""200-208""], [""190-198"", ""170-178""], [""152-160"", """"], [""125-136"", """"]]","[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
武器鍛冶_戦乱のオノ,戦乱のオノ,武器,,オノ,武器鍛冶,60.0,105.0,戦乱血風録,オノ,,,weapon_single,武器鍛冶_戦乱のオノ,戦乱のオノ,1,,"[{""name"": ""デモニウム鉱石"", ""qty"": 5}, {""name"": ""烈風石"", ""qty"": 1}, {""name"": ""黄金の飾りオノ"", ""qty"": 1}, {""name"": ""ひかりの石"", ""qty"": 10}, {""name"": ""ようせいのひだね"", ""qty"": 5}]",,"[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
武器鍛冶_破天の麗斧,破天の麗斧,武器,,オノ,武器鍛冶,65.0,108.0,天を破るオノ,オノ,,1.0,weapon_single,武器鍛冶_破天の麗斧,破天の麗斧,1,,"[{""name"": ""デモニウム鉱石"", ""qty"": 5}, {""name"": ""炎魔の焼け石"", ""qty"": 2}, {""name"": ""幻獣の骨"", ""qty"": 2}, {""name"": ""ぎんのこうせき"", ""qty"": 10}, {""name"": ""ようせいのひだね"", ""qty"": 5}]","[[""188～198""],[""168～178""],[""168～178""]]","[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
武器鍛冶_エキサイトアクス,エキサイトアクス,武器,,オノ,武器鍛冶,65.0,110.0,オノでエキサイト,オノ,3x2,2.0,weapon_single,武器鍛冶_エキサイトアクス,エキサイトアクス,1,,"[{""name"": ""デモニウム鉱石"", ""qty"": 5}, {""name"": ""幻獣の骨"", ""qty"": 1}, {""name"": ""大きな化石"", ""qty"": 1}, {""name"": ""つけもの石"", ""qty"": 5}, {""name"": ""ようせいのひだね"", ""qty"": 5}]","[[""180-188"", ""250-260""], [""180-188"", ""250-260""], [""100-108"", """"], [""100-108"", """"]]","[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
武器鍛冶_輝天のオノ,輝天のオノ,武器,,オノ,武器鍛冶,65.0,115.0,使い手をいやすオノ,オノ,3x2,2.0,weapon_single,武器鍛冶_輝天のオノ,輝天のオノ,1,,"[{""name"": ""フォレース鉱石"", ""qty"": 30}, {""name"": ""激震のキバ"", ""qty"": 3}, {""name"": ""黄金の飾りオノ"", ""qty"": 1}, {""name"": ""いやしそう"", ""qty"": 30}, {""name"": ""超ようせいのひだね"", ""qty"": 6}]","[[""235-243"", ""130-140""], [""130-140"", ""235-243""], [""80-87"", """"], [""80-87"", """"]]","[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
武器鍛冶_翼神のオノ,翼神のオノ,武器,,オノ,武器鍛冶,70.0,118.0,羽ばたく翼神,オノ,3x2,2.0,weapon_single,武器鍛冶_翼神のオノ,翼神のオノ,1,,"[{""name"": ""フォレース鉱石"", ""qty"": 30}, {""name"": ""大地の羽毛"", ""qty"": 5}, {""name"": ""かぜきりのはね"", ""qty"": 5}, {""name"": ""黄金の飾りオノ"", ""qty"": 1}, {""name"": ""超ようせいのひだね"", ""qty"": 7}]","[[""250-258"", ""170-179""], [""170-179"", ""250-258""], [""80-88"", """"], [""80-88"", """"]]","[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
武器鍛冶_セラスアックス,セーラスアックス,武器,,オノ,武器鍛冶,70.0,120.0,神光放つ斧の書,オノ,,,weapon_single,武器鍛冶_セラスアックス,セーラスアックス,1,,"[{""name"": ""フォレース鉱石"", ""qty"": 30}, {""name"": ""げんませき"", ""qty"": 5}, {""name"": ""メタルのカケラ"", ""qty"": 5}, {""name"": ""黄金の飾りオノ"", ""qty"": 1}, {""name"": ""超ようせいのひだね"", ""qty"": 8}]",,"[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
武器鍛冶_残月の玉斧,残月の玉斧,武器,,オノ,武器鍛冶,75.0,125.0,明け方に浮かぶ月,オノ,,,weapon_single,武器鍛冶_残月の玉斧,残月の玉斧,1,,"[{""name"": ""ゼーラズマ鉱石"", ""qty"": 30}, {""name"": ""烈風石"", ""qty"": 3}, {""name"": ""つきのめぐみ"", ""qty"": 30}, {""name"": ""こんじきの雲"", ""qty"": 5}, {""name"": ""超ようせいのひだね"", ""qty"": 8}]",,"[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
武器鍛冶_一刀星断,一刀星断,武器,,オノ,武器鍛冶,75.0,130.0,レシピ入手方法,オノ,,,weapon_single,武器鍛冶_一刀星断,一刀星断,1,,"[{""name"": ""ゼーラズマ鉱石"", ""qty"": 30}, {""name"": ""せいれいせき"", ""qty"": 6}, {""name"": ""こんじきの雲"", ""qty"": 5}, {""name"": ""ドラゴンのホネ"", ""qty"": 20}, {""name"": ""超ようせいのひだね"", ""qty"": 8}]",,"[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
武器鍛冶_セレネアックス,セレーネアックス,武器,,オノ,武器鍛冶,75.0,132.0,月女神の神話,オノ,,,weapon_single,武器鍛冶_セレネアックス,セレーネアックス,1,,"[{""name"": ""ゼーラズマ鉱石"", ""qty"": 30}, {""name"": ""おぼろ水晶"", ""qty"": 4}, {""name"": ""竜の涙"", ""qty"": 4}, {""name"": ""黄金の飾りオノ"", ""qty"": 2}, {""name"": ""超ようせいのひだね"", ""qty"": 9}]",,"[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
武器鍛冶_ウイングエッジ,ウイングエッジ,武器,,ブーメラン,武器鍛冶,12.0,21.0,ウイングエッジの本,ブーメラン,3x3,3.0,weapon_single,武器鍛冶_ウイングエッジ,ウイングエッジ,1,,"[{""name"": ""ぎんのこうせき"", ""qty"": 1}, {""name"": ""ひかりの石"", ""qty"": 1}]","[[""30-40"", null, ""40-52""], [null, ""50-58"", null], [""50-60"", null, ""40-55""]]","[""レンジャー"", ""賢者"", ""どうぐ使い"", ""遊び人"", ""旅芸人"", ""海賊"", ""隠者""]",ブーメラン
武器鍛冶_かぜのブメラン,かぜのブーメラン,武器,,ブーメラン,武器鍛冶,16.0,28.0,かぜのブーメランの本,ブーメラン,3x3,3.0,weapon_single,武器鍛冶_かぜのブメラン,かぜのブーメラン,1,,"[{""name"": ""ぎんのこうせき"", ""qty"": 1}, {""name"": ""どうのこうせき"", ""qty"": 1}, {""name"": ""しおかぜ草"", ""qty"": 1}]","[[""45-55"", null, ""55-65""], [null, ""70-79"", null], [""45-55"", null, ""55-65""]]","[""レンジャー"", ""賢者"", ""どうぐ使い"", ""遊び人"", ""旅芸人"", ""海賊"", ""隠者""]",ブーメラン
武器鍛冶_ツインスワロ,ツインスワロー,武器,,ブーメラン,武器鍛冶,23.0,35.0,ツインスワローの秘密,ブーメラン,3x3,3.0,weapon_single,武器鍛冶_ツインスワロ,ツインスワロー,1,,"[{""name"": ""ぎんのこうせき"", ""qty"": 1}, {""name"": ""どうのこうせき"", ""qty"": 1}, {""name"": ""小さなホネ"", ""qty"": 1}]","[[""70-81"", null, ""60-69""], [null, ""70-77"", null], [""60-69"", null, ""100-110""]]","[""レンジャー"", ""賢者"", ""どうぐ使い"", ""遊び人"", ""旅芸人"", ""海賊"", ""隠者""]",ブーメラン
武器鍛冶_ニンジャカッタ,ニンジャカッター,武器,,ブーメラン,武器鍛冶,17.0,35.0,ニンジャカッター製造法,ブーメラン,3x3,3.0,weapon_single,武器鍛冶_ニンジャカッタ,ニンジャカッター,1,,"[{""name"": ""ぎんのこうせき"", ""qty"": 1}, {""name"": ""こうもりのはね"", ""qty"": 1}, {""name"": ""さくらの花びら"", ""qty"": 1}]","[[""50-60"", null, ""70-78""], [null, ""60-72"", null], [""50-60"", null, ""70-78""]]","[""レンジャー"", ""賢者"", ""どうぐ使い"", ""遊び人"", ""旅芸人"", ""海賊"", ""隠者""]",ブーメラン
武器鍛冶_マジックチャクラム,マジックチャクラム,武器,,ブーメラン,武器鍛冶,20.0,35.0,マジックチャクラムの本,ブーメラン,3x3,3.0,weapon_single,武器鍛冶_マジックチャクラム,マジックチャクラム,1,,"[{""name"": ""ぎんのこうせき"", ""qty"": 1}, {""name"": ""まりょくの土"", ""qty"": 1}, {""name"": ""グリーンアイ"", ""qty"": 1}]","[[""55-65"", null, ""70-79""], [null, ""80-89"", null], [""55-65"", null, ""70-79""]]","[""レンジャー"", ""賢者"", ""どうぐ使い"", ""遊び人"", ""旅芸人"", ""海賊"", ""隠者""]",ブーメラン
武器鍛冶_こおりのブメラン,こおりのブーメラン,武器,,ブーメラン,武器鍛冶,27.0,42.0,こおりのブーメランの書,ブーメラン,3x3,3.0,weapon_single,武器鍛冶_こおりのブメラン,こおりのブーメラン,1,,"[{""name"": ""プラチナこうせき"", ""qty"": 6}, {""name"": ""氷のけっしょう"", ""qty"": 3}, {""name"": ""ブルーアイ"", ""qty"": 1}, {""name"": ""ようせいのひだね"", ""qty"": 6}]","[[""60-67"", null, ""80-91""], [null, ""70-81"", null], [""100-108"", null, ""100-108""]]","[""レンジャー"", ""賢者"", ""どうぐ使い"", ""遊び人"", ""旅芸人"", ""海賊"", ""隠者""]",ブーメラン
武器鍛冶_ほのおのブメラン,ほのおのブーメラン,武器,,ブーメラン,武器鍛冶,29.0,42.0,ほのおのブーメランの書,ブーメラン,3x3,3.0,weapon_single,武器鍛冶_ほのおのブメラン,ほのおのブーメラン,1,,"[{""name"": ""プラチナこうせき"", ""qty"": 8}, {""name"": ""ようがんのカケラ"", ""qty"": 1}, {""name"": ""レッドアイ"", ""qty"": 1}, {""name"": ""ようせいのひだね"", ""qty"": 8}]","[[""96-104"", null, ""97-107""], [null, ""80-87"", null], [""70-80"", null, ""97-107""]]","[""レンジャー"", ""賢者"", ""どうぐ使い"", ""遊び人"", ""旅芸人"", ""海賊"", ""隠者""]",ブーメラン
武器鍛冶_プラチナウィング,プラチナウィング,武器,,ブーメラン,武器鍛冶,25.0,42.0,プラチナウィング物語,ブーメラン,3x3,3.0,weapon_single,武器鍛冶_プラチナウィング,プラチナウィング,1,,"[{""name"": ""プラチナこうせき"", ""qty"": 4}, {""name"": ""せいれいせき"", ""qty"": 3}, {""name"": ""大きな貝がら"", ""qty"": 3}, {""name"": ""ようせいのひだね"", ""qty"": 4}]","[[""60-67"", null, ""100-110""], [null, ""70-81"", null], [""60-67"", null, ""100-110""]]","[""レンジャー"", ""賢者"", ""どうぐ使い"", ""遊び人"", ""旅芸人"", ""海賊"", ""隠者""]",ブーメラン
武器鍛冶_サザンクロス,サザンクロス,武器,,ブーメラン,武器鍛冶,32.0,50.0,サザンクロスのかがやき,ブーメラン,3x3,3.0,weapon_single,武器鍛冶_サザンクロス,サザンクロス,1,,"[{""name"": ""プラチナこうせき"", ""qty"": 12}, {""name"": ""ほしのカケラ"", ""qty"": 15}, {""name"": ""レッドオーブ"", ""qty"": 1}, {""name"": ""ようせいのひだね"", ""qty"": 10}]","[[""130-140"", null, ""95-105""], [null, ""110-115"", null], [""130-140"", null, ""95-105""]]","[""レンジャー"", ""賢者"", ""どうぐ使い"", ""遊び人"", ""旅芸人"", ""海賊"", ""隠者""]",ブーメラン
武器鍛冶_ブラックコンドル,ブラックコンドル,武器,,ブーメラン,武器鍛冶,30.0,50.0,ブラックコンドルの神秘,ブーメラン,3x3,3.0,weapon_single,武器鍛冶_ブラックコンドル,ブラックコンドル,1,,"[{""name"": ""プラチナこうせき"", ""qty"": 10}, {""name"": ""かぜきりのはね"", ""qty"": 1}, {""name"": ""グリーンオーブ"", ""qty"": 1}, {""name"": ""ようせいのひだね"", ""qty"": 10}]","[[""80-88"", null, ""110-121""], [null, ""100-106"", null], [""100-112"", null, ""80-88""]]","[""レンジャー"", ""賢者"", ""どうぐ使い"", ""遊び人"", ""旅芸人"", ""海賊"", ""隠者""]",ブーメラン
武器鍛冶_ペンタグラム,ペンタグラム,武器,,ブーメラン,武器鍛冶,34.0,60.0,ペンタグラムのレシピ,ブーメラン,3x3,3.0,weapon_single,武器鍛冶_ペンタグラム,ペンタグラム,1,,"[{""name"": ""ひかりの石"", ""qty"": 15}, {""name"": ""きんかい"", ""qty"": 1}, {""name"": ""イエローオーブ"", ""qty"": 1}, {""name"": ""ようせいのひだね"", ""qty"": 12}]","[[""130-136"", null, ""170-179""], [null, ""125-135"", null], [""125-135"", null, ""90-98""]]","[""レンジャー"", ""賢者"", ""どうぐ使い"", ""遊び人"", ""旅芸人"", ""海賊"", ""隠者""]",ブーメラン
